Indicator,Alameda,California
No usual source of care,14.4%,16.9%
Delayed getting Rx drugs or medical services,21.9%,21.9%
Uninsured,23.5%,26.1%
Employment-based insurance,54.1%,50.9%
Medi-Cal/Healthy Families,11.5%,11.7%
Other Insurance,11.0%,11.4%
Engaged in regular walking in the last week,37.9%,32.4%
Consumed one or more sodas per day,6.5%,11.0%
Current smoker,12.3%,13.1%
Binge drinking,27.0%,31.3%
Fair or poor health,17.5%,19.6%
Obese,22.6%,24.4%
Ever diagnosed with diabetes,4.7%,8.5%
Ever diagnosed with high blood pressure,26.8%,27.4%
Current asthma,10.5%,7.9%
Serious psychological distress in past year,6.9%,8.1%
Food insecure,14.9%,15.7%
Limited English proficiency,23.7%,27.2%
