Indicator,Butte,California
No usual source of care,13.3%,16.9%
Delayed getting Rx drugs or medical services,16.8%,21.9%
Uninsured,29.6%,26.1%
Employment-based insurance,49.0%,50.9%
Medi-Cal/Healthy Families,15.4%,11.7%
Other Insurance,6.0%,11.4%
Engaged in regular walking in the last week,24.7%,32.4%
Consumed one or more sodas per day,11.8%,11.0%
Current smoker,16.0%,13.1%
Binge drinking,37.1%,31.3%
Fair or poor health,17.7%,19.6%
Obese,23.7%,24.4%
Ever diagnosed with diabetes,10.8%,8.5%
Ever diagnosed with high blood pressure,31.9%,27.4%
Current asthma,11.9%,7.9%
Serious psychological distress in past year,13.5%,8.1%
Food insecure,20.0%,15.7%
Limited English proficiency,9.9%,27.2%
