Indicator,Contra Costa,California
No usual source of care,12.4%,16.9%
Delayed getting Rx drugs or medical services,15.9%,21.9%
Uninsured,17.8%,26.1%
Employment-based insurance,60.1%,50.9%
Medi-Cal/Healthy Families,11.2%,11.7%
Other Insurance,10.9%,11.4%
Engaged in regular walking in the last week,36.4%,32.4%
Consumed one or more sodas per day,5.1%,11.0%
Current smoker,14.1%,13.1%
Binge drinking,32.4%,31.3%
Fair or poor health,12.1%,19.6%
Obese,25.2%,24.4%
Ever diagnosed with diabetes,6.5%,8.5%
Ever diagnosed with high blood pressure,29.5%,27.4%
Current asthma,13.2%,7.9%
Serious psychological distress in past year,6.7%,8.1%
Food insecure,11.3%,15.7%
Limited English proficiency,16.7%,27.2%
