Indicator,Los Angeles,California
No usual source of care,19.6%,16.9%
Delayed getting Rx drugs or medical services,21.7%,21.9%
Uninsured,28.7%,26.1%
Employment-based insurance,45.6%,50.9%
Medi-Cal/Healthy Families,14.2%,11.7%
Other Insurance,11.5%,11.4%
Engaged in regular walking in the last week,34.0%,32.4%
Consumed one or more sodas per day,11.2%,11.0%
Current smoker,12.9%,13.1%
Binge drinking,30.5%,31.3%
Fair or poor health,22.7%,19.6%
Obese,25.0%,24.4%
Ever diagnosed with diabetes,9.6%,8.5%
Ever diagnosed with high blood pressure,27.3%,27.4%
Current asthma,6.8%,7.9%
Serious psychological distress in past year,8.3%,8.1%
Food insecure,18.4%,15.7%
Limited English proficiency,36.5%,27.2%
