Indicator,Orange,California
No usual source of care,16.0%,16.9%
Delayed getting Rx drugs or medical services,21.7%,21.9%
Uninsured,27.4%,26.1%
Employment-based insurance,56.5%,50.9%
Medi-Cal/Healthy Families,5.9%,11.7%
Other Insurance,10.3%,11.4%
Engaged in regular walking in the last week,30.4%,32.4%
Consumed one or more sodas per day,10.5%,11.0%
Current smoker,11.1%,13.1%
Binge drinking,30.7%,31.3%
Fair or poor health,21.7%,19.6%
Obese,20.9%,24.4%
Ever diagnosed with diabetes,8.0%,8.5%
Ever diagnosed with high blood pressure,25.7%,27.4%
Current asthma,5.4%,7.9%
Serious psychological distress in past year,6.7%,8.1%
Food insecure,12.4%,15.7%
Limited English proficiency,27.8%,27.2%
